KOD,ÜRÜN,MODEL,MALZEME,KAPLAMA,MİKTAR,A,B,D,L,h,s,BİRİM_PAKET,KATEGORİ
620600414,Metal Çerçeve 2.5 cm,,,Nikel,,,,,,,,,1000 Ad/Pk,TOKA
620600300,Metal Çerçeve 2.5 cm,,Pirinç,Nikel,,,,,,,,,250 Ad/Pk,TOKA
630200606,Paslanmaz Bağlantı Muskası,,,,,,,,,,,,,1 Ad,TOKA
650020300,Bükümlü Toka,,Pirinç,,,,,,,,,,1 Ad,TOKA
180060412,Ø6 Galvaniz+Halat Ucu+Bakır Burç,,,,,60,,8.5,,,,,100 Ad/Pk,HALAT UCU
180060500,Ø6 Paslanmaz+Halat Ucu+Bakır Burç,,,,,60,,8.5,,,,,100 Ad/Pk,HALAT UCU
180080412,Ø8 Galvaniz+Halat Ucu+Bakır Burç,,,,,72.5,,10,,,,,100 Ad/Pk,HALAT UCU
180080500,Ø8 Paslanmaz+Halat Ucu+Bakır Burç,,,,,72.5,,10,,,,,100 Ad/Pk,HALAT UCU
190121200,Bakır Burç,,,,,,,,,,,,,100 Ad/Pk,HALAT UCU
180090000,Gümrük Halatı Çakma Kalıbı,,,,,,,,,,,,,1 Ad,HALAT UCU
170060000,Gümrük Halatı Ø6,,,,,,,,,,,,,1 m,HALAT
170080000,Gümrük Halatı Ø8,,,,,,,,,,,,,1 m,HALAT
170061300,Gümrük Halatı Galvaniz Uçlu Ø6,,,,,,,,,,,,,1 m,HALAT
170081300,Gümrük Halatı Galvaniz Uçlu Ø8,,,,,,,,,,,,,1 m,HALAT
170060500,Gümrük Halatı Paslanmaz Uçlu Ø6,,,,,,,,,,,,,1 m,HALAT
170080500,Gümrük Halatı Paslanmaz Uçlu Ø8,,,,,,,,,,,,,1 m,HALAT
210010000,Şamrel Lastiği,,,,,,,,,,,,,10 Ad/Pk,LASTİK
220010000,Top Lastik Ø7,,,,,,,,,,,,,50 m/Top,LASTİK
22001000G,Top Lastik Ø7,,,,,,,,,,,,,50 m/Top,LASTİK
220010000,Top Lastik Ø8,,,,,,,,,,,,,50 m/Top,LASTİK
200000000,İthal Kayış - Tır Kayışı,,,Beyaz,,,,,,,,,50 m/Top,KAYIŞ
200010000,Yerli Kayış - Tır Kayışı,,,Beyaz,,,,,,,,,50 m/Top,KAYIŞ
200020000,Yerli Kayış - Tır Kayışı,,,Haki,,,,,,,,,50 m/Top,KAYIŞ
280040900,Naylon Kolan,,,,,,,,,,,,,1 Kg,KOLAN
290251100,Biye 2.5 cm,,,,,,,,,,,,,50 m/Top,KOLAN
280021100,Polyester Kolan 2cm,,,,,,,,,,,,,50 m/Top,KOLAN
280251100,Polyester Kolan 2.5 cm,,,,,,,,,,,,,50 m/Top,KOLAN
280031100,Polyester Kolan 3 cm,,,,,,,,,,,,,50 m/Top,KOLAN
280351100,Polyester Kolan 3.5 cm,,,,,,,,,,,,,50 m/Top,KOLAN
280041100,Polyester Kolan 4 cm,,,,,,,,,,,,,50 m/Top,KOLAN
280051100,Polyester Kolan ince 5 cm,,,,,,,,,,,,,50 m/Top,KOLAN
28005100K,Polyester Kolan Kalın 5 cm,,,,,,,,,,,,,50 m/Top,KOLAN
280061400,Pamuklu Kolan,,,,,,,,,,,,,Kg,KOLAN
040020411,Yaylı Kanca,,,Çinko,,,,,,,,,100 Ad/Pk,KOLAN
040010411,"S" Kanca,,,Çinko,,,,,,,,,250 Ad/Pk,KOLAN
040010500,"S" Kanca,,,Paslanmaz,,,,,,,,,250 Ad/Pk,KOLAN
230011312,Tekli Gergi Lastiği Metal Uç,,,,,,,,,,,,,60 Ad/Pk,KOLAN
230021312,Tekli Gergi Lastiği Metal Uç Kısa,,,,,,,,,,,,,60 Ad/Pk,KOLAN
230010601,Tekli Gergi Lastiği Plastik Uç,,,,,,,,,,,,,60 Ad/Pk,KOLAN
230010602,Tekli Gergi Plastik Ucu,,,,,,,,,,,,,1 Ad,KOLAN
270080000,Mekanizma+Spanset Kolanı 8 m,,,,,,,,,,,,,1 Ad,GERDİRME APARAT
270100000,Mekanizma+Spanset Kolanı 10 m,,,,,,,,,,,,,1 Ad,GERDİRME APARAT
270120000,Mekanizma+Spanset Kolanı 12 m,,,,,,,,,,,,,1 Ad,GERDİRME APARAT
270000411,Mekanizma,,,,,,,,,,,,,1 Ad,GERDİRME APARAT
270950411,Y 95 Çengel,,,,,,,,,,,,,1 Ad,GERDİRME APARAT
280080000,Spanset Kolanı 8m,,,,,,,,,,,,,1 Top,GERDİRME APARAT
280100000,Spanset Kolanı 10 m,,,,,,,,,,,,,1 Top,GERDİRME APARAT
280120000,Spanset Kolanı 12 m,,,,,,,,,,,,,1 Top,GERDİRME APARAT
293000000,Ambalaj İpi 3 mm,,,,,,,,,,,,,1 Kg,İP
294560000,Ambalaj İpi 4-5-6 mm,,,,,,,,,,,,,1 Kg,İP
298100000,Ambalaj İpi - Bağlama İpi 8-10 mm,,,,,,,,,,,,,~7.5-8 Kg,İP
190021320,Emniyet Kemer Kolanı 40...120 cm,,,,,,,,,,,,,Kg,KOLAN
190011320,Emniyet Kemer Kolanı 100...400 cm,,,,,,,,,,,,,Kg,KOLAN
190001320,Emniyet Kemer Kolanı (Top),,,,,,,,,,,,,Kg,KOLAN
150241306,24 No Makine Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
150281306,28 No Makine Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
150311306,31 No Makine Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
81041303,4 No Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
81051303,5 No Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
81241303,24 No Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
81281303,28 No Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
81311303,31 No Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
80441306,44 No Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
80481306,48 No Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
80401306,Yuvarlak Tır Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
80501306,Oval Tır Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
90000014,Çarklı Döner Delgi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
151241306,24 No Seyyar Çakma Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
151281306,28 No Seyyar Çakma Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
151311306,31 No Seyyar Çakma Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
151441306,44 No Seyyar Çakma Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
151481306,48 No Seyyar Çakma Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
151401306,Yuvarlak Tır Çakma Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
151501306,Oval Tır Çakma Kalıbı,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
150391306,Kayış Yarma Delgisi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
150391308,Sabitleme Laması Delgisi,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
460202040,20 X 20 X 40 Naylon Takoz,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
471230000,Marmara 23 Mekanik Tabanca,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
472230000,Rapid 23 Mekanik Tabanca,,,,,,,,,,,,,1 Ad,KALIP - DELGİ
483160000,Delta 306 Zımba Teli,,,,,,,,,,,,,1 Pk,KALIP - DELGİ
483180000,Delta 308 Zımba Teli,,,,,,,,,,,,,1 Pk,KALIP - DELGİ
650100000,Branda Makası - Sağ,,,,,,,,,,,,,1 Ad,MAKAS
650200000,Branda Makası - Sol,,,,,,,,,,,,,1 Ad,MAKAS
130610313,61 No Çıtçıt,,Pirinç,Nikel,,,,,,,,,720 Ad/Pk,ÇIT ÇIT
130610413,61 No Çıtçıt,,Sac,Nikel,,,,,,,,,720 Ad/Pk,ÇIT ÇIT
420010500,Tenax,,Pirinç,Nikel,,,,,,,,,1 Ad/Pk,ÇIT ÇIT
410010314,Fermajup,,Pirinç,Nikel,,,,,,,,,1 Ad/Pk,ÇIT ÇIT
410010414,Fermajup,,Sac,Nikel,,,,,,,,,1 Ad/Pk,ÇIT ÇIT
120000413,0 No Trok,,Sac,Nikel,,,,,,,,,2000 Ad/Pk,PERÇİN
120330413,33 No Trok,,Sac,Nikel,,,,,,,,,2000 Ad/Pk,PERÇİN
123350413,33.5 No Trok,,Sac,Nikel,,,,,,,,,2000 Ad/Pk,PERÇİN
120750413,75 No Trok,,Sac,Nikel,,,,,,,,,1000 Ad/Pk,PERÇİN
121230413,123 No Trok,,Sac,Nikel,,,,,,,,,5000 Ad/Pk,PERÇİN
400071100,5 No RT 7 Fermuar,,,,,,,,,,,,,1 m,FERMUAR
400151100,8 No RT 15 Fermuar,,,,,,,,,,,,,1 m,FERMUAR
400201100,20 No RT 20 Fermuar,,,,,,,,,,,,,1 m,FERMUAR
400901100,9 No Kemik Diş Fermuar,,,,,,,,,,,,,1 m,FERMUAR
401070000,RT 7 Kursör,,,,,,,,,,,,,1 Ad,FERMUAR
401150000,RT 15 Kursör,,,,,,,,,,,,,1 Ad,FERMUAR
401200000,RT 20 Kursör,,,,,,,,,,,,,1 Ad,FERMUAR
310030003,3 No Naylon Dikiş İpi,,,,,,,,,,,,,3000 m/Bobin,DİKİŞ İPİ
310130006,6 No Naylon Dikiş İpi,,,,,,,,,,,,,1250 m/Bobin,DİKİŞ İPİ
310130009,9 No Naylon Dikiş İpi,,,,,,,,,,,,,1000 m/Bobin,DİKİŞ İPİ
312081400,20 X 8 Pamuklu Dikiş İpi,,,,,,,,,,,,,1 Kg,DİKİŞ İPİ
310361100,36 No Polyester Dikiş İpi,,,,,,,,,,,,,1 Ad/Bobin,DİKİŞ İPİ
310501100,50 No Polyester Dikiş İpi,,,,,,,,,,,,,1 Ad/Bobin,DİKİŞ İPİ
311201100,120 No Polyester Dikiş İpi,,,,,,,,,,,,,1 Ad/Bobin,DİKİŞ İPİ
430020000,2 cm Cırt Bant Siyah - Beyaz,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
430020000R,2 cm Cırt Bant Renkli,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
430250000,2.5 cm Cırt Bant Siyah - Beyaz,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
430250000R,2.5 cm Cırt Bant Renkli,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
430300000,3 cm Cırt Bant Siyah - Beyaz,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
430300000R,3 cm Cırt Bant Renkli,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
430400000,4 cm Cırt Bant Siyah - Beyaz,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
430400000R,4 cm Cırt Bant Renkli,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
430500000,5 cm Cırt Bant Siyah - Beyaz,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
430500000R,5 cm Cırt Bant Renkli,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
431000000,10 cm Cırt Bant Siyah - Beyaz,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
431000000R,10 cm Cırt Bant Renkli,,,,,,,,,,,,,25 m/Top,TEKSTİL BANT
660100000,Mıknatıs 100 kgf,,,,,,,,,,,,,1 Ad,MIKNATIS
320150100,15 X 25 Tente Menteşesi,,Metal,,,,,,,,,,2 Ad/Tk,TENTE AKSESUAR
320150600,15 X 25 Tente Menteşesi,,Plastik,,,,,,,,,,2 Ad/Tk,TENTE AKSESUAR
320200100,20 X 20 Tente Menteşesi,,Metal,,,,,,,,,,2 Ad/Tk,TENTE AKSESUAR
320200600,20 X 20 Tente Menteşesi,,Plastik,,,,,,,,,,2 Ad/Tk,TENTE AKSESUAR
330000606,Tente Makarası,,,Siyah,,,,,,,,,10 Tk/Pk,TENTE AKSESUAR
330000601,Tente Makarası,,,Gri,,,,,,,,,10 Tk/Pk,TENTE AKSESUAR
330000600,Tente Makarası,,,Beyaz,,,,,,,,,10 Tk/Pk,TENTE AKSESUAR
340000800,Tente Şeridi,,,Siyah - Beyaz,,,,,,,,,10 Kg/Top,TENTE AKSESUAR
340000800,Tente Şeridi,,,Renkli,,,,,,,,,10 Kg/Top,TENTE AKSESUAR
350000600,Tente Kabarası,,,Siyah - Beyaz,,,,,,,,,2000 Ad/Pk,TENTE AKSESUAR
350100600,Tente Kabarası,,,Renkli,,,,,,,,,2000 Ad/Pk,TENTE AKSESUAR
360011001,Tente İpi Renkli - Kg,,,,,,,,,,,,,1 Kg,TENTE AKSESUAR
360061001,Tente İpi Ø6,,,,,,,,,,,,,1 Kg,TENTE AKSESUAR
360081001,Tente İpi Ø5,,,,,,,,,,,,,1 Kg,TENTE AKSESUAR
380010100,Alüminyum Perçin Ø4 X 12,,,,,,,,,,,,,1000 Ad/Pk,TENTE AKSESUAR
384180100,4 X 18 Pop Perçin,,,,,,,,,,,,,1000 Ad/Pk,TENTE AKSESUAR
384200100,4 X 20 Pop Perçin,,,,,,,,,,,,,1000 Ad/Pk,TENTE AKSESUAR
385150100,5 X 15 Pop Perçin,,,,,,,,,,,,,1000 Ad/Pk,TENTE AKSESUAR
385200100,5 X 20 Pop Perçin,,,,,,,,,,,,,1000 Ad/Pk,TENTE AKSESUAR
140010000,Yandan Çekme Pres Küçük,,,,,,,,,,,,,1 Ad,PRES
140020000,Yandan Çekme Pres Büyük,,,,,,,,,,,,,1 Ad,PRES
140030100,Üstten Basma Pres,,,,,,,,,,,,,1 Ad,PRES
140040000,Darbeli Pres Dar Taban,,,,,,,,,,,,,1 Ad,PRES
140050000,Darbeli Pres Geniş Taban,,,,,,,,,,,,,1 Ad,PRES
140060000,Mekanik Pres Tek Operasyonda Delme + Çakma,,,,,,,,,,,,,1 Ad,PRES
140060024,24 No Delme + Çakma Kalıbı,,,,,,,,,,,,,1 Tk,PRES
140060028,28 No Delme + Çakma Kalıbı,,,,,,,,,,,,,1 Tk,PRES
140060031,31 No Delme + Çakma Kalıbı,,,,,,,,,,,,,1 Tk,PRES
8 B 1065,PVC Branda TIR,,DIN 75200 620 gr/m2,,,250,,,1100,,,m2,PVC BRANDA
8 i 1065,PVC Branda TIR,,DIN 75200 620 gr/m2,,,250,,,1100,,,m2,PVC BRANDA
8 B 1293,PVC Branda TIR,,DIN 75200 670 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 i 1293,PVC Branda TIR,,DIN 75200 670 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 B 1071,PVC Branda TIR,,DIN 75200 900 gr/m2,,,300,,,1100,,,m2,PVC BRANDA
8 i 1071,PVC Branda TIR,,DIN 75200 900 gr/m2,,,300,,,1100,,,m2,PVC BRANDA
8 B 1015,PVC Branda Tente,,B1 M2 630 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 i 1015,PVC Branda Tente,,B1 M2 630 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 B 1017,PVC Branda Tente,,B1 M2 650 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 i 1017,PVC Branda Tente,,B1 M2 650 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 B 1673,PVC Branda Tente,,B1 M2 850 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 i 1673,PVC Branda Tente,,B1 M2 850 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 B 1010,PVC Branda Tente,,B1 M2 550 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 i 1010,PVC Branda Tente,,B1 M2 550 gr/m2,,,250-300,,,1100,,,m2,PVC BRANDA
8 B 4951,PVC Branda Membran Tip 1,,760 gr/m2,,,250,,,1100,,,m2,PVC BRANDA
8 B 6951,PVC Branda Membran Tip 1,,860 gr/m2,,,250,,,1100,,,m2,PVC BRANDA
8 B 4617,PVC Branda Membran Tip 2,,900 gr/m2,,,250,,,1100,,,m2,PVC BRANDA
8 i 6617,PVC Branda Membran Tip 2,,1000 gr/m2,,,250,,,1100,,,m2,PVC BRANDA
8 B 4915,PVC Branda Membran Tip 3,,1100 gr/m2,,,250,,,1670,,,m2,PVC BRANDA
8 B 6915,PVC Branda Membran Tip 3,,1100 gr/m2,,,250,,,1670,,,m2,PVC BRANDA
8 i 4618,PVC Branda Membran Tip 4,,1300 gr/m2,,,250,,,1670,,,m2,PVC BRANDA
8 B 6618,PVC Branda Membran Tip 4,,1400 gr/m2,,,250,,,1670,,,m2,PVC BRANDA
8 B 4092,PVC Branda Membran Tip 5,,1450 gr/m2,,,250,,,1670,,,m2,PVC BRANDA
8 B 6092,PVC Branda Membran Tip 5,,1450 gr/m2,,,250,,,2200,,,m2,PVC BRANDA
H5551-xxxx,PVC Branda Panama Heytex,,900 gr/m2,,,300,,,1100,,,m2,PVC BRANDA HEYTEX
H5551-0290,PVC Branda Sign digital baskı Heytex,,900 gr/m2,,,300,,,1100,,,m2,PVC BRANDA HEYTEX
H5560-xxxx,PVC Branda Kargo kol. Heytex,,680 gr/m2,,,250,,,1100,,,m2,PVC BRANDA HEYTEX
H5560-3002,PVC Branda Kargo kol. Heytex,,680 gr/m2,,,218-250-275,,,1100,,,m2,PVC BRANDA HEYTEX
H5560-5002,PVC Branda Kargo kol. Heytex,,680 gr/m2,,,218-250-275,,,1100,,,m2,PVC BRANDA HEYTEX
H5560-9006,PVC Branda Kargo kol. Heytex,,680 gr/m2,,,218-250-275,,,1100,,,m2,PVC BRANDA HEYTEX
H5560-9016,PVC Branda Kargo kol. Heytex,,680 gr/m2,,,218-250-275-300,,,1100,,,m2,PVC BRANDA HEYTEX
H5560-0292,PVC Branda Sign digital baskı Heytex,,680 gr/m2,,,300,,,1100,,,m2,PVC BRANDA HEYTEX
H5518-xxxx,PVC Branda Kargo kol. Heytex,,650 gr/m2,,,250,,,1100,,,m2,PVC BRANDA HEYTEX
H5518-9016,PVC Branda Kargo kol. Heytex,,650 gr/m2,,,218-250-300,,,1100,,,m2,PVC BRANDA HEYTEX
H5512-xxxx,PVC Branda Şişme bot Heytex,,600 gr/m2,,,150-205-218,,,1100,,,m2,PVC BRANDA HEYTEX
H3561-xxxx,PVC Branda Şişme bot Heytex,,700 gr/m2,,,150-205,,,1100,,,m2,PVC BRANDA HEYTEX
H2562-xxxx,PVC Branda Şişme bot Heytex,,850 gr/m2,,,150-205,,,1100,,,m2,PVC BRANDA HEYTEX
H5509-xxxx,PVC Branda Şişme bot Heytex,,1050 gr/m2,,,205,,,1100,,,m2,PVC BRANDA HEYTEX
H5559-xxxx,PVC Branda Şişme bot Heytex,,1200 gr/m2,,,150,,,1100,,,m2,PVC BRANDA HEYTEX
H2585-xxxx,PVC Branda Şişme bot Heytex,,1400 gr/m2,,,150,,,1100,,,m2,PVC BRANDA HEYTEX
H5526-xxxx,PVC Branda Şişme bot Heytex,,1400 gr/m2,,,150,,,1100,,,m2,PVC BRANDA HEYTEX
H3526-xxxx,PVC Branda Şişme bot Heytex,,1600 gr/m2,,,150,,,1200/2200,,,m2,PVC BRANDA HEYTEX
H5660-9016,PVC Branda Çatı Malzemesi Beyaz Heytex,,680 gr/m2,,,275,,,1100,,,m2,PVC BRANDA HEYTEX
HH5571-xxxx,PVC Branda TIR brandası B1 Heytex,,650 gr/m2,,,250,,,1100,,,m2,PVC BRANDA HEYTEX
HH5512-0026,PVC Branda Blockout Heytex,,760 gr/m2,,,250,,,1100,,,m2,PVC BRANDA HEYTEX
H5571-0828,PVC Branda Blockout Heytex,,850 gr/m2,,,250,,,1100,,,m2,PVC BRANDA HEYTEX
H8573-0290,PVC Branda Flexi Tank Heytex,,1000 gr/m2,,,205,,,1100,,,m2,PVC BRANDA HEYTEX
,P.E. Branda Beyaz,,180 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Gri,,180 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Mavi,,180 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Sarı,,180 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Yeşil,,180 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Turuncu,,180 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Beyaz,,220 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Gri,,220 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Mavi,,220 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Sarı,,220 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Yeşil,,220 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,P.E. Branda Turuncu,,220 gr/m2,,,200,,,,,100 mtul,P.E. BRANDA
,Şeffaf PVC 0.50 mm,,,,,137,,,,,30 mtul,ŞEFFAF PVC
,Şeffaf PVC 0.60 mm,,,,,137,,,,,25 mtul,ŞEFFAF PVC
,Şeffaf PVC 0.80 mm,,,,,137,,,,,25 mtul,ŞEFFAF PVC
,Şeffaf PVC 1.00 mm,,,,,137,,,,,25 mtul,ŞEFFAF PVC
580050000,Unimat Welding Machine Bant Kaynak Makinası + Uç,,,,,,,,,230 VAC 3680 W,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
580150000,Unimat Welding Machine Bant Kaynak Ucu,,,,,50 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
580040000,Unimat Overlap Machine Bindirme Kaynak Makinası + Uç,,,,,40 mm,,,,230 VAC 3680 W,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
580140000,Unimat Overlap Machine Bindirme Kaynak Makinası Ucu,,,,,40 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
570010000,TRIAC "S" Elektronik Isı Ayarlı Kaynak Makinesi,,,,,,,,,230 VAC 1600 W,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
590030000,Uniplan otomatik Bindirme Kaynak Makinası,,,,,30 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
571000040,Ø 32 x 45mm Merdane,,,,,40 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
572000040,40mm Yassı Uç,,,,,40 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
573000000,Rezistans 100.689,,,,,,,,,230 VAC 1500 W,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
576000000,Kömür,,,,,,,,,,,2 Ad/1 Tk,SICAK HAVA KAYNAK MAKİNALARI
580050040,Unimat Değiştirme Seti Banttan Bindirmeye,,,,,50 mm,,,,,,1 Tk,SICAK HAVA KAYNAK MAKİNALARI
570020000,QUICK L + Uç Elektronik Isı Ayarlı Kaynak Makinesi,,,,,40 mm,,,,230 VAC 1600 W,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
573000040,QUICK L Uç,,,,,40 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
574000000,Rezistans,,,,,,,,,230 VAC 1500 W,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
577000000,Kömür,,,,,,,,,,,2 Ad/Tk,SICAK HAVA KAYNAK MAKİNALARI
590450000,FORPLAST P + Uç Otomatik Bindirme Kaynak Makinası,,,,,45 mm,,,,220 VAC 3500 W,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
593450045,FORPLAST P Bindirme Kaynak Ucu,,,,,45 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
593450020,FORPLAST P Bindirme Kaynak Ucu,,,,,20 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
580050050,Unimat Değiştirme Seti Bindirmeden Banta,,,,,40 mm,,,,,,1 Tk,SICAK HAVA KAYNAK MAKİNALARI
590500000,FORPLAST-B +Uç Otomatik Bant Kaynak Makinası,,,,,50 mm,,,,230 VAC 4000 W,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
593050050,FORPLAST-B Uç Bant Kaynak Ucu,,,,,50 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
600100000,FORPLAST + Uç Otomatik Takviye Şerit Kaynak Makinası,,,,,100-125-150 mm,,,,230 VAC 3500 W,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
603100100,Takviye Şerit Kaynak Makinası,,,,,100 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
603100125,Takviye Şerit Kaynak Makinası,,,,,125 mm,,,,,,1 Ad,SICAK HAVA KAYNAK MAKİNALARI
590454500,Değiştirme Seti FORPLAST Banttan Bindirmeye,,,,,40 mm,,,,,,1 Tk,SICAK HAVA KAYNAK MAKİNALARI
591254500,Değiştirme Seti FORPLAST Bindirmeden Takviye Şeride,,,,,40 mm,,,,,,1 Tk,SICAK HAVA KAYNAK MAKİNALARI
015240100,Tam Otomatik Kapsül Delme + Çakma Makinası,,,24 No,,,,,,,,,1 Ad,PNÖMATİK KAPSÜL ÇAKMA MAKİNALARI
015280100,Tam Otomatik Kapsül Delme + Çakma Makinası,,,28 No,,,,,,,,,1 Ad,PNÖMATİK KAPSÜL ÇAKMA MAKİNALARI
015310100,Tam Otomatik Kapsül Delme + Çakma Makinası,,,31 No,,,,,,,,,1 Ad,PNÖMATİK KAPSÜL ÇAKMA MAKİNALARI
700400000,Otomatik Kapsül Delme ve Çakma Makinası,,,,,,,,,,,,,1 Ad,HİDROLİK KAPSÜL ÇAKMA MAKİNALARI
700401300,Yuvarlak TIR Kapsülü Delme - Çakma Kalıbı,,,Ø 40 mm TIR,,,,,,,,,1 Set,HİDROLİK KAPSÜL ÇAKMA MAKİNALARI
701401300,Oval TIR Kapsülü Delme - Çakma Kalıbı,,,42 x 22 mm OVAL,,,,,,,,,1 Set,HİDROLİK KAPSÜL ÇAKMA MAKİNALARI
